"ï»¿""Energie";" verbruik en producentenprijs naar energiedrager""";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;
Onderwerp;Energiedragers;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Hoeveelheid;Totaal energiedragers;PJ;2965;3104;3000;3022;2994;3067;3157;3166;3251;3318;3316;3236;3355;3334;3266;3493;3246;3269;3255;3048;3094;3141
Ontwikkeling t.o.v. een jaar eerder;Totaal energiedragers;%;2,9;4,7;-3,4;0,7;-0,9;2,4;2,9;0,3;2,7;2,1;-0,1;-2,4;3,7;-0,6;-2;7;-7,1;0,7;-0,4;-6,4;1,5;1,5
||Prijsindexcijfer;Totaal energiedragers;2010=100;33,2;35,7;38,1;34,5;35,5;52,4;57,1;53,3;56,4;61,2;77,9;95,7;98;122;89,9;100;123,1;132,8;127,5;112,2;88,1;66,8
Ontwikkeling t.o.v. een jaar eerder;Totaal energiedragers;%;1,8;7,7;6,6;-9,3;2,8;47,6;9;-6,7;5,9;8,6;27,3;22,8;2,4;24,5;-26,3;11,2;23,1;7,9;-4;-12;-21,5;-24,2
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;
