title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Godfather,1972,2h 55min,Crime; Drama,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"1,326,530"
The Godfather: Part II,1974,3h 22min,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.0,"916,975"
The Dark Knight,2008,2h 32min,Crime; Drama; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,909,381"
